,intervention,cum_infections,cum_reinfections,cum_infectious,cum_symptomatic,cum_severe,cum_critical,cum_recoveries,cum_deaths,cum_tests,cum_diagnoses,cum_known_deaths,cum_quarantined,cum_vaccinations,cum_vaccinated,prevalence,incidence,r_eff,doubling_time,test_yield,rel_test_yield,frac_vaccinated,pop_nabs,pop_protection,pop_symp_protection,pop_type,pop_size,pop_infected,start_day,end_day,location
63,Baseline,41211.0,0.0,41207.0,28466.0,2734.0,945.0,40772.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000967566369005624,0.00011377858686995108,0.22325853360558554,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
64,Baseline,41051.0,0.0,41048.0,28368.0,2575.0,843.0,40646.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008260133773873801,0.00022348865795060902,0.5139922960441995,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
65,Baseline,41091.0,0.0,41090.0,28508.0,2651.0,891.0,40646.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001028101439342015,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
66,Baseline,41277.0,0.0,41270.0,28445.0,2630.0,910.0,40810.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016728474685585295,0.00011463945890175398,0.12860995675567183,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
67,Baseline,41084.0,0.0,41075.0,28365.0,2690.0,934.0,40615.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010285990883788473,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
68,Baseline,41262.0,0.0,41261.0,28491.0,2696.0,920.0,40826.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006250630103841114,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
69,Baseline,40954.0,0.0,40950.0,28130.0,2624.0,874.0,40545.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001148082500805672,0.00022109219544550078,0.37000835368350987,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
70,Baseline,41091.0,0.0,41086.0,28144.0,2606.0,870.0,40634.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012700076603636657,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
71,Baseline,41389.0,0.0,41386.0,28425.0,2634.0,885.0,40963.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000745802342222491,0.00011613053071652537,0.2879821468249162,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
72,Baseline,40903.0,0.0,40887.0,28192.0,2723.0,869.0,40472.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001229095305258916,0.00021985269869187644,0.4370427352423663,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
73,Baseline,41203.0,0.0,41197.0,28455.0,2594.0,874.0,40806.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007051049599097465,0.00011367511651699443,0.3372410625055614,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
74,Baseline,41038.0,0.0,41032.0,28223.0,2636.0,920.0,40595.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011488692707703472,0.0001115822361080116,0.19226948978182526,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
75,Baseline,41032.0,0.0,41028.0,28245.0,2660.0,904.0,40589.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010683329973795606,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
76,Baseline,40871.0,0.0,40860.0,28035.0,2650.0,928.0,40390.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013310476958757688,0.00032862306933946765,0.5331257116313791,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
77,Baseline,41223.0,0.0,41218.0,28642.0,2669.0,907.0,40801.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000584594916040075,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
78,Baseline,41235.0,0.0,41230.0,28423.0,2613.0,919.0,40772.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009075874309225123,0.00011409013120365089,0.24421786651418226,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
79,Baseline,41102.0,0.0,41097.0,28237.0,2606.0,892.0,40695.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006448362720403023,0.00011238480557428635,0.36232713840881836,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
80,Baseline,40871.0,0.0,40861.0,28058.0,2636.0,896.0,40429.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012494961708988312,0.00021908204622631176,0.3765299798008057,30.0,0.0,0.0,0.0,0.0,0.0,0.0,hybrid,50000,100,2020-03-01,2020-06-30,UK
