,Unnamed: 0,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
579,9,102.0,149.0,192.0,212.0,221.0,229.0,0.0,59.0,95.0,116.0,124.0,129.0,0.0,0.0,5.0,8.0,8.0,8.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,48298.0,48298.0,48298.0,48298.0,48298.0,48298.0,14,48298.11445016439,102.55462969194696,UK,moderna,35,hybrid,True
92,2,103.0,162.0,220.0,245.0,248.0,249.0,0.0,68.0,111.0,145.0,159.0,161.0,0.0,0.0,1.0,6.0,10.0,10.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25048.0,49812.0,50020.0,50022.0,50022.0,50022.0,14,50022.07495389883,103.71610485739647,China,moderna,35,hybrid,True
303,3,104.0,193.0,348.0,534.0,686.0,782.0,0.0,68.0,156.0,260.0,384.0,474.0,0.0,2.0,5.0,18.0,31.0,36.0,0.0,0.0,0.0,6.0,10.0,12.0,0.0,0.0,0.0,0.0,1.0,4.0,49631.0,49631.0,49631.0,49631.0,49631.0,49631.0,14,49631.01418884,104.61927122139492,Japan,az,35,hybrid,True
225,15,99.0,121.0,147.0,156.0,160.0,161.0,0.0,55.0,81.0,92.0,94.0,95.0,0.0,0.0,2.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49309.0,49309.0,49309.0,49309.0,49309.0,49309.0,14,49309.362333392106,99.5424935567896,UK,moderna,35,hybrid,True
991,1,95.0,198.0,355.0,547.0,737.0,901.0,0.0,58.0,161.0,272.0,399.0,521.0,0.0,3.0,12.0,25.0,42.0,55.0,0.0,0.0,2.0,5.0,12.0,19.0,0.0,0.0,0.0,0.0,4.0,5.0,48433.0,48433.0,48433.0,48433.0,48433.0,48433.0,14,48433.62597969629,95.206665792963,Japan,az,35,hybrid,True
198,18,88.0,134.0,167.0,194.0,202.0,203.0,0.0,50.0,91.0,112.0,119.0,123.0,0.0,1.0,4.0,6.0,7.0,7.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52144.0,52144.0,52144.0,52144.0,52144.0,52144.0,14,52144.95033726947,88.71070835884908,UK,pfizer,35,hybrid,True
456,6,90.0,177.0,343.0,514.0,668.0,785.0,0.0,62.0,136.0,247.0,359.0,441.0,0.0,1.0,5.0,11.0,20.0,26.0,0.0,0.0,1.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,39711.0,49719.0,49719.0,49719.0,49719.0,49719.0,14,49719.446407232535,90.6910120650291,France,az,35,hybrid,True
757,7,98.0,133.0,170.0,178.0,179.0,180.0,0.0,61.0,98.0,110.0,114.0,114.0,0.0,0.0,4.0,5.0,6.0,6.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,39929.0,49640.0,49640.0,49640.0,49640.0,49640.0,14,49640.443087842286,98.3422736662664,France,pfizer,35,hybrid,True
1190,20,96.0,181.0,343.0,501.0,646.0,761.0,0.0,56.0,145.0,247.0,346.0,416.0,0.0,1.0,8.0,17.0,30.0,41.0,0.0,1.0,5.0,6.0,12.0,12.0,0.0,0.0,0.0,2.0,4.0,5.0,50210.0,50210.0,50210.0,50210.0,50210.0,50210.0,14,50210.16071623414,96.10477445076984,Japan,az,35,hybrid,True
483,3,100.0,142.0,181.0,197.0,206.0,209.0,0.0,58.0,98.0,112.0,122.0,124.0,0.0,0.0,8.0,14.0,14.0,16.0,0.0,0.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,49904.0,49904.0,49904.0,49904.0,49904.0,49904.0,14,49904.16105332114,100.79498831914596,Japan,moderna,35,hybrid,True
