,Unnamed: 0,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_symptomatic_1,cum_symptomatic_2,cum_symptomatic_3,cum_symptomatic_4,cum_symptomatic_5,cum_symptomatic_6,cum_severe_1,cum_severe_2,cum_severe_3,cum_severe_4,cum_severe_5,cum_severe_6,cum_critical_1,cum_critical_2,cum_critical_3,cum_critical_4,cum_critical_5,cum_critical_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,cum_vaccinated_1,cum_vaccinated_2,cum_vaccinated_3,cum_vaccinated_4,cum_vaccinated_5,cum_vaccinated_6,quar_period,pop_size,pop_infected,location,interventions,n_days,pop_type,use_waning
955,25,96.0,178.0,337.0,517.0,649.0,755.0,0.0,62.0,136.0,245.0,345.0,428.0,0.0,1.0,8.0,11.0,20.0,30.0,0.0,1.0,3.0,4.0,6.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,40236.0,50442.0,50442.0,50442.0,50442.0,50442.0,14,50442.4308296262,96.99902118460956,France,az,35,hybrid,True
1241,11,99.0,223.0,560.0,1328.0,2932.0,6237.0,0.0,55.0,178.0,505.0,1168.0,2515.0,0.0,1.0,7.0,23.0,55.0,137.0,0.0,0.0,5.0,11.0,20.0,42.0,0.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51234.41111932517,99.79926650480289,Japan,none,35,hybrid,True
167,17,96.0,161.0,309.0,478.0,622.0,720.0,0.0,57.0,137.0,246.0,347.0,439.0,0.0,0.0,5.0,14.0,26.0,34.0,0.0,0.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,2.0,3.0,4.0,49518.0,49518.0,49518.0,49518.0,49518.0,49518.0,14,49518.679714966514,96.72779348304503,Japan,az,35,hybrid,True
124,4,98.0,212.0,540.0,1290.0,3014.0,6789.0,0.0,61.0,180.0,467.0,1105.0,2490.0,0.0,0.0,3.0,14.0,44.0,105.0,0.0,0.0,1.0,3.0,5.0,22.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,48877.15583154997,98.24847085902476,China,none,35,hybrid,True
46,16,99.0,127.0,146.0,152.0,153.0,154.0,0.0,56.0,86.0,93.0,96.0,97.0,0.0,0.0,6.0,8.0,9.0,10.0,0.0,0.0,4.0,4.0,4.0,5.0,0.0,0.0,0.0,2.0,3.0,3.0,49985.0,49985.0,49985.0,49985.0,49985.0,49985.0,14,49985.91324401598,99.46531903528498,Japan,pfizer,35,hybrid,True
1012,22,95.0,192.0,352.0,510.0,655.0,775.0,0.0,70.0,157.0,258.0,359.0,454.0,0.0,1.0,11.0,21.0,30.0,36.0,0.0,0.0,3.0,7.0,9.0,11.0,0.0,0.0,0.0,0.0,2.0,3.0,48433.0,48433.0,48433.0,48433.0,48433.0,48433.0,14,48433.62597969629,95.206665792963,Japan,az,35,hybrid,True
1037,17,102.0,232.0,451.0,664.0,834.0,948.0,0.0,72.0,168.0,323.0,465.0,549.0,0.0,0.0,13.0,23.0,34.0,46.0,0.0,0.0,1.0,8.0,11.0,17.0,0.0,0.0,0.0,0.0,2.0,3.0,50184.0,50184.0,50184.0,50184.0,50184.0,50184.0,14,50184.85649921006,102.993990282074,Japan,az,35,hybrid,True
383,23,98.0,213.0,498.0,1071.0,2295.0,4776.0,0.0,55.0,173.0,412.0,887.0,1921.0,0.0,0.0,6.0,23.0,48.0,104.0,0.0,0.0,2.0,10.0,18.0,32.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,14,51074.20002609812,98.47468271854748,France,none,35,hybrid,True
857,17,91.0,131.0,148.0,154.0,158.0,159.0,0.0,65.0,94.0,97.0,100.0,102.0,0.0,0.0,4.0,5.0,6.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,25143.0,49935.0,50125.0,50128.0,50128.0,50128.0,14,50128.509455645,91.6238101923775,China,moderna,35,hybrid,True
1274,14,105.0,147.0,182.0,193.0,193.0,193.0,0.0,68.0,103.0,119.0,123.0,123.0,0.0,3.0,6.0,9.0,9.0,10.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,50398.0,50398.0,50398.0,50398.0,50398.0,50398.0,14,50398.41309243068,105.97783563947138,Japan,pfizer,35,hybrid,True
442,22,104.0,181.0,347.0,513.0,660.0,767.0,0.0,72.0,143.0,251.0,345.0,433.0,0.0,2.0,9.0,16.0,19.0,27.0,0.0,0.0,4.0,4.0,5.0,6.0,0.0,0.0,0.0,2.0,3.0,3.0,50118.0,50118.0,50118.0,50118.0,50118.0,50118.0,14,50118.11080239527,104.58361811850742,Japan,az,35,hybrid,True
