,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,use_waning,pop_type,pop_size,pop_infected,location,interventions,imbalance,alpha
48,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.05,10.0
49,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.05,10.0
50,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.05,10.0
51,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.05,10.0
52,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.05,10.0
53,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.05,10.0
54,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.05,10.0
55,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.05,10.0
56,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,none,0.05,10.0
57,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.05,10.0
58,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.05,10.0
59,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.05,10.0
60,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,none,0.05,10.0
61,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.05,10.0
62,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,none,0.05,10.0
63,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.05,10.0
64,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.05,10.0
65,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.05,10.0
66,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.05,10.0
67,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.05,10.0
68,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.05,10.0
69,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.05,10.0
70,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.05,10.0
71,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.05,10.0
72,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,none,0.05,10.0
73,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.05,10.0
74,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,none,0.05,10.0
75,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.05,10.0
76,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.05,10.0
77,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.05,10.0
78,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.05,10.0
79,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.05,10.0
0,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
1,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.13749999999999998,5.0
2,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.13749999999999998,5.0
3,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.13749999999999998,5.0
4,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
5,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.13749999999999998,5.0
6,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,none,0.13749999999999998,5.0
7,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
8,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.13749999999999998,5.0
9,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.13749999999999998,5.0
10,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.13749999999999998,5.0
11,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
12,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,none,0.13749999999999998,5.0
13,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
14,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
15,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.13749999999999998,5.0
16,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
17,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.13749999999999998,5.0
18,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
19,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.13749999999999998,5.0
20,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.13749999999999998,5.0
21,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.13749999999999998,5.0
22,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.13749999999999998,5.0
23,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.13749999999999998,5.0
24,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
25,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.13749999999999998,5.0
26,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
27,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.13749999999999998,5.0
28,100.0,210.0,544.0,1388.0,3230.0,6735.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,True,hybrid,50000,100,New Zealand,none,0.13749999999999998,5.0
29,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
30,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
31,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
32,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
33,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.13749999999999998,5.0
34,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
35,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
36,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.13749999999999998,5.0
37,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.13749999999999998,5.0
38,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
39,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.13749999999999998,5.0
40,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
41,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
42,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.13749999999999998,5.0
43,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.13749999999999998,5.0
44,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
45,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.13749999999999998,5.0
46,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.13749999999999998,5.0
47,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
48,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
49,100.0,150.0,205.0,244.0,251.0,251.0,0.0,0.0,0.0,0.0,3.0,4.0,14,35,True,hybrid,50000,100,France,pfizer,0.13749999999999998,5.0
50,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
51,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.13749999999999998,5.0
52,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
53,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
54,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
55,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.13749999999999998,5.0
56,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
57,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.13749999999999998,5.0
58,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
59,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.13749999999999998,5.0
60,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
61,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.13749999999999998,5.0
62,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
63,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
64,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
65,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.13749999999999998,5.0
66,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
67,100.0,152.0,224.0,261.0,280.0,281.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,True,hybrid,50000,100,Japan,pfizer,0.13749999999999998,5.0
68,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
69,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
70,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.13749999999999998,5.0
71,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.13749999999999998,5.0
72,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
73,100.0,160.0,248.0,298.0,315.0,321.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,True,hybrid,50000,100,UK,pfizer,0.13749999999999998,5.0
74,100.0,223.0,617.0,1621.0,3697.0,7822.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,True,hybrid,50000,100,UK,none,0.13749999999999998,5.0
75,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
76,100.0,216.0,509.0,1056.0,2084.0,4060.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,True,hybrid,50000,100,France,none,0.13749999999999998,5.0
77,100.0,169.0,268.0,318.0,330.0,334.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,True,hybrid,50000,100,New Zealand,pfizer,0.13749999999999998,5.0
78,100.0,204.0,559.0,1384.0,3128.0,6598.0,0.0,0.0,0.0,1.0,2.0,7.0,14,35,True,hybrid,50000,100,Japan,none,0.13749999999999998,5.0
