,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,quar_period,n_days,pop_type,use_waning,pop_size,pop_infected,rand_seed,location,interventions,avg_age,contacts_h,contacts_s,contacts_w,contacts_c,age_dist,id,imbalance
5,87.0,154.0,232.0,281.0,311.0,323.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,35.03535842895508,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti2,0.20833244323730327
6,87.0,139.0,198.0,245.0,261.0,269.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.856937408447266,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti2,0.20833244323730327
7,87.0,157.0,256.0,318.0,348.0,355.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.978553771972656,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti2,0.20833244323730327
8,87.0,168.0,257.0,306.0,324.0,330.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.880271911621094,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti2,0.20833244323730327
9,87.0,173.0,266.0,321.0,346.0,349.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.951786041259766,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti2,0.20833244323730327
10,87.0,120.0,169.0,184.0,187.0,189.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,35.02445983886719,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti2,0.20833244323730327
11,87.0,204.0,555.0,1365.0,3154.0,6725.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.68002700805664,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti2,0.20833244323730327
12,87.0,191.0,502.0,1222.0,2748.0,5803.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.73788070678711,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti2,0.20833244323730327
13,87.0,206.0,503.0,1163.0,2840.0,6277.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.84714126586914,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti2,0.20833244323730327
14,87.0,206.0,632.0,1577.0,3497.0,7359.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.79928207397461,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti2,0.20833244323730327
15,87.0,184.0,416.0,941.0,2095.0,4523.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.619781494140625,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti2,0.20833244323730327
16,87.0,216.0,551.0,1159.0,2372.0,5090.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.76964569091797,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti2,0.20833244323730327
17,87.0,240.0,702.0,1688.0,4102.0,8778.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.65208053588867,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti2,0.20833244323730327
18,87.0,252.0,644.0,1631.0,3844.0,8385.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.71908950805664,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti2,0.20833244323730327
19,87.0,162.0,394.0,871.0,1857.0,3843.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.78071212768555,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti2,0.20833244323730327
0,87.0,153.0,238.0,277.0,298.0,299.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.68002700805664,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti3,0.20833244323730327
1,87.0,204.0,555.0,1365.0,3154.0,6725.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.68002700805664,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti3,0.20833244323730327
2,87.0,153.0,242.0,307.0,314.0,319.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.921173095703125,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti3,0.20833244323730327
3,87.0,151.0,219.0,253.0,264.0,269.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.97188949584961,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti3,0.20833244323730327
4,87.0,148.0,214.0,240.0,248.0,252.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,35.06853485107422,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti3,0.20833244323730327
5,87.0,154.0,232.0,281.0,311.0,323.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,35.03535842895508,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti3,0.20833244323730327
6,87.0,139.0,198.0,245.0,261.0,269.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.856937408447266,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti3,0.20833244323730327
7,87.0,157.0,256.0,318.0,348.0,355.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.978553771972656,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti3,0.20833244323730327
8,87.0,168.0,257.0,306.0,324.0,330.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.880271911621094,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti3,0.20833244323730327
9,87.0,173.0,266.0,321.0,346.0,349.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,34.951786041259766,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti3,0.20833244323730327
10,87.0,120.0,169.0,184.0,187.0,189.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,treatment,35.02445983886719,2.0,20,16,20,"{'0-9': 8102, '10-19': 9021, '20-29': 8254, '30-39': 8864, '40-49': 8092, '50-59': 7287, '60-69': 4710, '70-79': 2212, '80+': 876}",ic0_ti3,0.20833244323730327
11,87.0,204.0,555.0,1365.0,3154.0,6725.0,14,35,hybrid,True,57423.3661827055,87.20348858270775,6187,UK,control,34.68002700805664,2.0,20,16,20,"{'0-9': 9304, '10-19': 8096, '20-29': 7842, '30-39': 8459, '40-49': 8684, '50-59': 7577, '60-69': 4619, '70-79': 1871, '80+': 968}",ic0_ti3,0.20833244323730327
