,cum_infections_1,cum_infections_2,cum_infections_3,cum_infections_4,cum_infections_5,cum_infections_6,cum_deaths_1,cum_deaths_2,cum_deaths_3,cum_deaths_4,cum_deaths_5,cum_deaths_6,quar_period,n_days,pop_type,pop_size,pop_infected,location,rand_seed
6,100.0,213.0,518.0,1199.0,2619.0,5428.0,0.0,0.0,0.0,0.0,0.0,4.0,14,35,hybrid,50000,100,France,1
7,100.0,199.0,478.0,992.0,2004.0,3908.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,hybrid,50000,100,France,1
8,100.0,246.0,642.0,1470.0,3113.0,6196.0,0.0,0.0,0.0,0.0,0.0,4.0,14,35,hybrid,50000,100,France,1
9,100.0,208.0,478.0,1071.0,2358.0,4906.0,0.0,0.0,0.0,0.0,0.0,2.0,14,35,hybrid,50000,100,France,1
10,100.0,209.0,497.0,1079.0,2199.0,4413.0,0.0,0.0,0.0,0.0,0.0,3.0,14,35,hybrid,50000,100,France,1
11,100.0,220.0,592.0,1396.0,3148.0,6657.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,50000,100,France,1
12,100.0,202.0,467.0,1014.0,2087.0,4024.0,0.0,0.0,0.0,1.0,2.0,3.0,14,35,hybrid,50000,100,France,1
13,100.0,201.0,535.0,1314.0,2806.0,5598.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,hybrid,50000,100,France,1
14,100.0,198.0,498.0,1148.0,2384.0,4790.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,50000,100,France,1
15,100.0,186.0,432.0,968.0,1950.0,3846.0,0.0,0.0,0.0,1.0,3.0,4.0,14,35,hybrid,50000,100,France,1
16,100.0,211.0,548.0,1313.0,2806.0,5508.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,50000,100,France,1
17,100.0,221.0,587.0,1302.0,2761.0,5492.0,0.0,0.0,0.0,1.0,2.0,6.0,14,35,hybrid,50000,100,France,1
18,100.0,194.0,449.0,1053.0,2150.0,4210.0,0.0,0.0,0.0,0.0,0.0,2.0,14,35,hybrid,50000,100,France,1
19,100.0,198.0,473.0,1016.0,2304.0,4923.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,50000,100,France,1
20,100.0,201.0,461.0,1015.0,2385.0,5094.0,0.0,0.0,0.0,1.0,1.0,2.0,14,35,hybrid,50000,100,France,1
21,100.0,217.0,523.0,1336.0,2937.0,6090.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,hybrid,50000,100,France,1
22,100.0,217.0,533.0,1269.0,2869.0,6057.0,0.0,0.0,0.0,2.0,2.0,5.0,14,35,hybrid,50000,100,France,1
23,100.0,280.0,850.0,1953.0,4321.0,8621.0,0.0,0.0,0.0,1.0,2.0,8.0,14,35,hybrid,50000,100,France,1
24,100.0,164.0,365.0,757.0,1532.0,3179.0,0.0,0.0,0.0,0.0,0.0,2.0,14,35,hybrid,50000,100,France,1
25,100.0,225.0,574.0,1377.0,2903.0,5783.0,0.0,0.0,0.0,0.0,2.0,5.0,14,35,hybrid,50000,100,France,1
26,100.0,212.0,459.0,997.0,2206.0,4577.0,0.0,0.0,0.0,1.0,1.0,4.0,14,35,hybrid,50000,100,France,1
27,100.0,209.0,534.0,1203.0,2556.0,5168.0,0.0,0.0,0.0,1.0,1.0,6.0,14,35,hybrid,50000,100,France,1
28,100.0,242.0,568.0,1252.0,2658.0,5593.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,50000,100,France,1
29,100.0,258.0,622.0,1518.0,3178.0,6262.0,0.0,0.0,0.0,0.0,2.0,6.0,14,35,hybrid,50000,100,France,1
0,100.0,223.0,551.0,1274.0,2667.0,5524.0,0.0,0.0,0.0,1.0,1.0,4.0,14,35,hybrid,50000,100,New Zealand,1
1,100.0,256.0,548.0,1181.0,2381.0,4755.0,0.0,0.0,0.0,0.0,1.0,1.0,14,35,hybrid,50000,100,New Zealand,1
2,100.0,205.0,512.0,1155.0,2540.0,5379.0,0.0,0.0,0.0,0.0,3.0,5.0,14,35,hybrid,50000,100,New Zealand,1
3,100.0,195.0,494.0,1279.0,3173.0,6856.0,0.0,0.0,0.0,0.0,0.0,2.0,14,35,hybrid,50000,100,New Zealand,1
4,100.0,227.0,588.0,1420.0,3134.0,6485.0,0.0,0.0,0.0,0.0,2.0,3.0,14,35,hybrid,50000,100,New Zealand,1
5,100.0,265.0,645.0,1498.0,3365.0,7005.0,0.0,0.0,0.0,0.0,0.0,2.0,14,35,hybrid,50000,100,New Zealand,1
6,100.0,225.0,639.0,1440.0,3317.0,7198.0,0.0,0.0,0.0,0.0,0.0,5.0,14,35,hybrid,50000,100,New Zealand,1
7,100.0,220.0,600.0,1433.0,3233.0,6816.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,hybrid,50000,100,New Zealand,1
8,100.0,263.0,688.0,1566.0,3570.0,7602.0,0.0,0.0,0.0,1.0,2.0,5.0,14,35,hybrid,50000,100,New Zealand,1
9,100.0,214.0,573.0,1272.0,2783.0,5759.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,hybrid,50000,100,New Zealand,1
10,100.0,223.0,628.0,1459.0,3255.0,6717.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,hybrid,50000,100,New Zealand,1
11,100.0,200.0,481.0,1077.0,2516.0,5366.0,0.0,0.0,0.0,0.0,0.0,0.0,14,35,hybrid,50000,100,New Zealand,1
12,100.0,217.0,532.0,1253.0,2642.0,5449.0,0.0,0.0,0.0,0.0,1.0,6.0,14,35,hybrid,50000,100,New Zealand,1
13,100.0,221.0,578.0,1400.0,3291.0,6992.0,0.0,0.0,0.0,1.0,2.0,4.0,14,35,hybrid,50000,100,New Zealand,1
14,100.0,241.0,536.0,1175.0,2438.0,5007.0,0.0,0.0,0.0,0.0,2.0,4.0,14,35,hybrid,50000,100,New Zealand,1
15,100.0,191.0,458.0,1073.0,2493.0,5211.0,0.0,0.0,0.0,1.0,1.0,1.0,14,35,hybrid,50000,100,New Zealand,1
16,100.0,238.0,643.0,1556.0,3531.0,7472.0,0.0,0.0,0.0,0.0,3.0,7.0,14,35,hybrid,50000,100,New Zealand,1
17,100.0,235.0,573.0,1363.0,3134.0,6732.0,0.0,0.0,0.0,0.0,0.0,2.0,14,35,hybrid,50000,100,New Zealand,1
18,100.0,208.0,520.0,1113.0,2411.0,5346.0,0.0,0.0,0.0,0.0,0.0,2.0,14,35,hybrid,50000,100,New Zealand,1
19,100.0,226.0,581.0,1427.0,3148.0,6701.0,0.0,0.0,0.0,0.0,1.0,5.0,14,35,hybrid,50000,100,New Zealand,1
20,100.0,213.0,562.0,1291.0,3043.0,6626.0,0.0,0.0,0.0,1.0,2.0,4.0,14,35,hybrid,50000,100,New Zealand,1
21,100.0,223.0,501.0,1204.0,2942.0,6380.0,0.0,0.0,0.0,0.0,0.0,2.0,14,35,hybrid,50000,100,New Zealand,1
22,100.0,238.0,607.0,1559.0,3484.0,7201.0,0.0,0.0,0.0,2.0,3.0,4.0,14,35,hybrid,50000,100,New Zealand,1
23,100.0,311.0,880.0,2266.0,4952.0,9817.0,0.0,0.0,0.0,1.0,3.0,3.0,14,35,hybrid,50000,100,New Zealand,1
24,100.0,190.0,500.0,1166.0,2492.0,5286.0,0.0,0.0,0.0,1.0,1.0,3.0,14,35,hybrid,50000,100,New Zealand,1
25,100.0,229.0,547.0,1318.0,2788.0,5768.0,0.0,0.0,0.0,0.0,1.0,3.0,14,35,hybrid,50000,100,New Zealand,1
26,100.0,205.0,539.0,1117.0,2521.0,5097.0,0.0,0.0,0.0,1.0,1.0,5.0,14,35,hybrid,50000,100,New Zealand,1
27,100.0,237.0,544.0,1299.0,2851.0,5849.0,0.0,0.0,0.0,0.0,1.0,2.0,14,35,hybrid,50000,100,New Zealand,1
28,100.0,275.0,665.0,1601.0,3585.0,7456.0,0.0,0.0,0.0,0.0,0.0,2.0,14,35,hybrid,50000,100,New Zealand,1
29,100.0,244.0,630.0,1533.0,3276.0,6737.0,0.0,0.0,0.0,0.0,0.0,1.0,14,35,hybrid,50000,100,New Zealand,1
