,height,diameter,bucket_volume,surface_area,water_volume_t0,wind_speed_t0,temperature_t0,water_volume_t1,wind_speed_t1,temperature_t1,water_volume_t2,wind_speed_t2,temperature_t2,water_volume_t3,wind_speed_t3,temperature_t3,water_volume_t4,wind_speed_t4,temperature_t4,water_volume_t5,wind_speed_t5,temperature_t5,water_volume_t6,wind_speed_t6,temperature_t6,water_volume_t7,wind_speed_t7,temperature_t7,water_volume_t8,wind_speed_t8,temperature_t8,water_volume_t9,wind_speed_t9,temperature_t9,temperature_t10,water_volume_t10,wind_speed_t10
10,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.5,60.0,8.58805125775492,0.5,60.0,7.611066194762391,1.5,40.0,6.213586862780591,1.5,50.0,5.620400968781086,0.5,50.0,4.456316760587868,0.5,70.0,0.0,2.0,80.0,0.0,1.5,60.0,0.0,0.0,50.0,0.0,0.5,60.0,70.0,0.0,0.5
11,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.0,70.0,8.260693752576161,0.5,70.0,7.548600711206771,1.0,40.0,6.530022899265962,1.0,50.0,2.778108455579931,1.5,80.0,2.778108455579931,0.0,80.0,1.3413392016744654,1.0,60.0,0.0,2.0,80.0,0.0,1.5,60.0,0.0,0.0,80.0,50.0,0.0,0.5
12,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.5,60.0,8.712684919399988,1.0,40.0,7.120115589353867,0.5,80.0,6.101537777413058,1.0,50.0,5.508351883413552,0.5,50.0,3.915782553367431,0.5,80.0,1.1733309237982068,1.5,70.0,0.0,2.0,80.0,0.0,1.5,80.0,0.0,0.0,80.0,40.0,0.0,1.0
13,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.0,40.0,7.675746553459833,2.0,50.0,5.704512433079762,1.5,60.0,3.955481025770215,2.0,50.0,3.955481025770215,0.0,50.0,3.955481025770215,0.0,60.0,0.2035665820841843,1.5,80.0,0.0,1.0,70.0,0.0,2.0,70.0,0.0,0.0,40.0,40.0,0.0,1.0
14,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.0,70.0,9.42477796076938,0.0,50.0,7.453543840389308,1.5,60.0,6.056064508407509,1.5,50.0,4.833307562712314,2.0,40.0,0.1375556833344964,2.0,80.0,0.1375556833344964,0.0,50.0,0.0,0.5,60.0,0.0,1.0,60.0,0.0,1.0,60.0,50.0,0.0,1.5
15,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.5,40.0,8.447792897776852,1.5,40.0,7.283708689583634,0.5,70.0,7.283708689583634,0.0,70.0,5.284823757068218,1.0,70.0,0.5890718776904009,2.0,80.0,0.0,2.0,80.0,0.0,0.5,80.0,0.0,0.0,80.0,0.0,0.5,80.0,80.0,0.0,0.5
16,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.5,70.0,6.957657117689996,2.0,60.0,6.957657117689996,0.0,50.0,4.95877218517458,1.0,70.0,3.522002931269115,1.0,60.0,2.0852336773636493,1.0,60.0,0.8624767316684538,2.0,40.0,0.0,1.0,50.0,0.0,1.5,80.0,0.0,1.5,40.0,80.0,0.0,0.5
17,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.0,70.0,8.831592066769874,0.5,50.0,8.831592066769874,0.0,40.0,8.831592066769874,0.0,80.0,7.667507858576656,0.5,70.0,7.667507858576656,0.0,50.0,6.2700285265948565,1.5,50.0,5.433301823580397,0.5,60.0,5.018602482593697,0.5,40.0,0.3228506032158798,2.0,80.0,40.0,0.3228506032158798,0.0
18,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.5,70.0,9.42477796076938,0.0,50.0,9.42477796076938,0.0,60.0,4.729026081391562,2.0,80.0,2.7301411488761467,1.0,70.0,0.0,2.0,70.0,0.0,0.5,60.0,0.0,2.0,70.0,0.0,0.0,70.0,0.0,0.0,50.0,70.0,0.0,0.5
19,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.0,40.0,4.729026081391562,2.0,80.0,0.0332742020137448,2.0,80.0,0.0,2.0,60.0,0.0,1.0,80.0,0.0,1.5,80.0,0.0,0.5,70.0,0.0,0.0,60.0,0.0,0.5,70.0,0.0,0.0,40.0,80.0,0.0,0.5
20,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.0,40.0,7.425893028253964,1.0,70.0,5.833323698207843,0.5,80.0,5.833323698207843,0.0,40.0,3.0908720686386184,1.5,70.0,1.341840661329072,2.0,50.0,0.0,1.5,70.0,0.0,0.5,60.0,0.0,2.0,40.0,0.0,0.5,60.0,60.0,0.0,0.0
21,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.5,70.0,8.831592066769874,0.5,50.0,7.082560659460327,2.0,50.0,7.082560659460327,0.0,40.0,6.489374765460822,0.5,50.0,5.266617819765626,2.0,40.0,3.2677328872502107,1.0,70.0,2.674546993250705,0.5,50.0,2.674546993250705,0.0,50.0,1.837820290236245,0.5,60.0,50.0,0.4403409582544455,1.5
22,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.0,60.0,7.675746553459833,2.0,50.0,5.676861620944417,1.0,70.0,4.240092367038952,1.0,60.0,4.240092367038952,0.0,60.0,1.4976407374697276,1.5,70.0,0.6609140344552676,0.5,60.0,0.0,1.5,60.0,0.0,1.5,70.0,0.0,0.0,60.0,50.0,0.0,0.5
23,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.5,80.0,7.988008706863914,1.0,60.0,7.988008706863914,0.0,80.0,5.253358743047055,1.0,80.0,5.253358743047055,0.0,60.0,3.660789413000934,0.5,80.0,3.660789413000934,0.0,40.0,0.91833778343171,1.5,70.0,0.0,2.0,50.0,0.0,0.5,40.0,60.0,0.0,1.0
24,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.0,50.0,5.672863517083348,1.5,80.0,3.701629396703277,1.5,60.0,1.234508553623893,2.0,60.0,0.0,2.0,60.0,0.0,0.5,60.0,0.0,2.0,50.0,0.0,1.0,40.0,0.0,0.5,60.0,0.0,0.5,50.0,70.0,0.0,0.5
25,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.5,40.0,7.832208630723258,0.5,80.0,5.860974510343187,1.5,60.0,5.860974510343187,0.0,50.0,4.883989447350658,1.5,40.0,3.71990523915744,0.5,70.0,2.88317853614298,0.5,60.0,2.88317853614298,0.0,50.0,1.2906092060968584,0.5,80.0,0.0,2.0,80.0,80.0,0.0,0.0
26,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.0,40.0,8.202021015074184,2.0,40.0,8.202021015074184,0.0,40.0,8.202021015074184,0.0,70.0,5.4673710512573255,1.0,80.0,3.874801721211204,0.5,80.0,1.13235009164198,1.5,70.0,0.0,1.5,60.0,0.0,0.5,50.0,0.0,1.0,80.0,50.0,0.0,2.0
27,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,2.0,40.0,8.58805125775492,0.5,60.0,8.173351916768219,0.5,40.0,6.580782586722098,0.5,80.0,6.580782586722098,0.0,60.0,6.580782586722098,0.0,60.0,5.183303254740299,1.5,50.0,5.183303254740299,0.0,50.0,5.183303254740299,0.0,70.0,2.44865329092344,1.0,80.0,80.0,0.8560839608773183,0.5
28,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.0,40.0,5.992430931821485,2.0,70.0,5.992430931821485,0.0,70.0,5.155704228807025,0.5,60.0,5.155704228807025,0.0,40.0,5.155704228807025,0.0,50.0,3.4066728214974784,2.0,50.0,0.6720228576806195,1.0,80.0,0.0,2.0,60.0,0.0,2.0,40.0,40.0,0.0,0.5
29,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.5,40.0,8.58805125775492,0.5,60.0,8.58805125775492,0.0,40.0,5.845599628185696,1.5,70.0,5.430900287198996,0.5,40.0,1.6789858435129648,1.5,80.0,0.242216589607499,1.0,60.0,0.0,2.0,50.0,0.0,2.0,60.0,0.0,0.5,50.0,70.0,0.0,1.5
30,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.5,60.0,8.202021015074184,2.0,40.0,3.5062691356963667,2.0,80.0,1.5350350153162955,1.5,60.0,1.1203356743295956,0.5,40.0,0.0,2.0,40.0,0.0,1.0,50.0,0.0,2.0,60.0,0.0,1.0,70.0,0.0,1.5,70.0,80.0,0.0,0.0
31,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.0,60.0,8.447792897776852,1.5,40.0,5.713142933959993,1.0,80.0,5.713142933959993,0.0,60.0,2.280795905012098,2.0,70.0,0.0,2.0,80.0,0.0,2.0,80.0,0.0,0.5,80.0,0.0,1.5,40.0,0.0,1.0,80.0,80.0,0.0,0.5
32,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,0.5,40.0,7.425893028253964,1.0,70.0,6.261808820060745,0.5,70.0,5.668622926061239,0.5,50.0,5.075437032061734,0.5,50.0,3.677957700079934,1.5,50.0,3.677957700079934,0.0,60.0,2.241188446174468,1.0,60.0,1.26420338318194,1.5,40.0,0.0,2.0,50.0,80.0,0.0,0.5
33,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.5,50.0,5.992430931821485,2.0,70.0,4.828346723628266,0.5,70.0,4.828346723628266,0.0,70.0,3.809768911687457,1.0,50.0,3.097675870318067,1.0,40.0,1.9335916621248488,0.5,70.0,0.7108347164296531,2.0,40.0,0.0,1.5,60.0,0.0,1.0,50.0,40.0,0.0,2.0
34,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.5,70.0,4.729026081391562,2.0,80.0,1.9943761175747032,1.0,80.0,0.0,2.0,70.0,0.0,1.0,60.0,0.0,1.5,70.0,0.0,0.0,60.0,0.0,2.0,50.0,0.0,1.5,70.0,0.0,1.0,40.0,80.0,0.0,1.0
35,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.5,50.0,5.992430931821485,2.0,70.0,4.828346723628266,0.5,70.0,2.8571126032481957,1.5,60.0,0.0,2.0,80.0,0.0,1.5,40.0,0.0,1.5,80.0,0.0,1.5,60.0,0.0,0.0,70.0,0.0,1.0,40.0,50.0,0.0,1.0
36,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.0,70.0,7.988008706863914,1.0,60.0,6.590529374882115,1.5,50.0,6.590529374882115,0.0,50.0,6.590529374882115,0.0,70.0,5.613544311889586,1.5,40.0,2.871092682320362,1.5,70.0,1.4736133503385624,1.5,50.0,1.4736133503385624,0.0,80.0,1.4736133503385624,0.0,60.0,70.0,1.4736133503385624,0.0
37,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,2.0,40.0,8.02729862878758,1.5,50.0,8.02729862878758,0.0,60.0,5.292648664970722,1.0,80.0,4.455921961956262,0.5,60.0,4.455921961956262,0.0,70.0,3.0191527080507967,1.0,60.0,1.0479185876707258,1.5,60.0,0.0,2.0,50.0,0.0,0.5,50.0,40.0,0.0,0.5
38,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,1.5,40.0,9.42477796076938,0.0,40.0,7.832208630723258,0.5,80.0,5.0975586669064,1.0,80.0,4.38546562553701,1.0,40.0,3.792279731537504,0.5,50.0,1.0498281019682798,1.5,70.0,0.2131013989538198,0.5,60.0,0.0,2.0,80.0,0.0,1.0,70.0,50.0,0.0,2.0
39,3.0,2.0,9.42477796076938,3.141592653589793,9.42477796076938,2.0,40.0,7.988008706863914,1.0,60.0,5.24555707729469,1.5,70.0,2.5109071134778307,1.0,80.0,2.0962077724911303,0.5,40.0,2.0962077724911303,0.0,50.0,2.0962077724911303,0.0,50.0,2.0962077724911303,0.0,60.0,0.6987284405093308,1.5,50.0,0.0,0.5,80.0,70.0,0.0,2.0
